147881 : {'maze': {'seed': 11122000, 'width': 32, 'height': 16}, 'players': [], 'bullets': []}
147882 : {'maze': {'seed': 11122000, 'width': 32, 'height': 16}, 'players': [], 'bullets': []}
147883 : {'maze': {'seed': 11122000, 'width': 32, 'height': 16}, 'players': [], 'bullets': []}
147884 : {'maze': {'seed': 11122000, 'width': 32, 'height': 16}, 'players': [], 'bullets': []}
147885 : {'maze': {'seed': 11122000, 'width': 32, 'height': 16}, 'players': [], 'bullets': []}
147886 : {'maze': {'seed': 11122000, 'width': 32, 'height': 16}, 'players': [{'id': 14, 'hp': 10, 'position': [3.0625, 2.0], 'current_direction': -2, 'next_direction': None, 'seed': 2, 'bullet_cooldown': 0, 'bullet_counter': 0, 'dead_counter': 1}], 'bullets': []}
147887 : {'maze': {'seed': 11122000, 'width': 32, 'height': 16}, 'players': [{'id': 14, 'hp': 10, 'position': [3.125, 2.0], 'current_direction': -2, 'next_direction': None, 'seed': 2, 'bullet_cooldown': 0, 'bullet_counter': 0, 'dead_counter': 1}], 'bullets': []}
147888 : {'maze': {'seed': 11122000, 'width': 32, 'height': 16}, 'players': [{'id': 14, 'hp': 10, 'position': [3.1875, 2.0], 'current_direction': -2, 'next_direction': None, 'seed': 2, 'bullet_cooldown': 0, 'bullet_counter': 0, 'dead_counter': 1}], 'bullets': []}
147889 : {'maze': {'seed': 11122000, 'width': 32, 'height': 16}, 'players': [{'id': 14, 'hp': 10, 'position': [3.25, 2.0], 'current_direction': -2, 'next_direction': None, 'seed': 2, 'bullet_cooldown': 0, 'bullet_counter': 0, 'dead_counter': 1}], 'bullets': []}
147890 : {'maze': {'seed': 11122000, 'width': 32, 'height': 16}, 'players': [{'id': 14, 'hp': 10, 'position': [3.3125, 2.0], 'current_direction': -2, 'next_direction': None, 'seed': 2, 'bullet_cooldown': 0, 'bullet_counter': 0, 'dead_counter': 1}], 'bullets': []}
147891 : {'maze': {'seed': 11122000, 'width': 32, 'height': 16}, 'players': [{'id': 14, 'hp': 10, 'position': [3.375, 2.0], 'current_direction': -2, 'next_direction': None, 'seed': 2, 'bullet_cooldown': 0, 'bullet_counter': 0, 'dead_counter': 1}], 'bullets': []}
147892 : {'maze': {'seed': 11122000, 'width': 32, 'height': 16}, 'players': [{'id': 14, 'hp': 10, 'position': [3.4375, 2.0], 'current_direction': -2, 'next_direction': None, 'seed': 2, 'bullet_cooldown': 0, 'bullet_counter': 0, 'dead_counter': 1}], 'bullets': []}
147893 : {'maze': {'seed': 11122000, 'width': 32, 'height': 16}, 'players': [{'id': 14, 'hp': 10, 'position': [3.5, 2.0], 'current_direction': -2, 'next_direction': None, 'seed': 2, 'bullet_cooldown': 0, 'bullet_counter': 0, 'dead_counter': 1}], 'bullets': []}
147894 : {'maze': {'seed': 11122000, 'width': 32, 'height': 16}, 'players': [{'id': 14, 'hp': 10, 'position': [3.5625, 2.0], 'current_direction': -2, 'next_direction': None, 'seed': 2, 'bullet_cooldown': 0, 'bullet_counter': 0, 'dead_counter': 1}], 'bullets': []}
147895 : {'maze': {'seed': 11122000, 'width': 32, 'height': 16}, 'players': [{'id': 14, 'hp': 10, 'position': [3.625, 2.0], 'current_direction': -2, 'next_direction': None, 'seed': 2, 'bullet_cooldown': 0, 'bullet_counter': 0, 'dead_counter': 1}], 'bullets': []}
147896 : {'maze': {'seed': 11122000, 'width': 32, 'height': 16}, 'players': [{'id': 14, 'hp': 10, 'position': [3.6875, 2.0], 'current_direction': -2, 'next_direction': None, 'seed': 2, 'bullet_cooldown': 0, 'bullet_counter': 0, 'dead_counter': 1}], 'bullets': []}
